n,seccion,comentario_limpio
4185,1,Menos chile en el tarro michelado.
4186,2,Queremos sucursal en Lago de Guadalupe.
4187,5,"Me gusta todo el camino concepto. Gracias, gracias, gracias."
4188,4,"Me gustaría menos canela en el arroz con leche, es muchísima."
4189,5,"En la sucursal de Madero hoy el servicio estuvo muy por debajo del estándar; los platos muertos 30 minutos en las mesas, solo 3 piezas de tostada para 3 pozoles, 1 limón para toda la mesa. Se pidió más tostadas y de nuevo llevaron 3. Los supervisores de camisa roja se molestan si tocas el timbre. Pedimos una crema, más limones y sal, y se tardaron 10 minutos y el lugar ya no estaba tan lleno. Por último, los meseros corriendo por todo el lugar, arriesgándose a un accidente con clientes o compañeros. Los precios volvieron a subir en menos de un año; ya van 3 incrementos. ¡Ojalá mejoren porque se está yendo la gente por eso!"
4190,2,Deben poner Wi-Fi.
4191,2,Buen sabor y buena atención.
4192,5,Excelente trabajo
4193,4,Me gustaría que el café fuera de grano y con opciones de algunos saborizantes.
4194,5,"Todo excelente, gracias :)"
4195,4,"Muy buen servicio del mesero Juan Pablo, muy atento y amable."
4196,5,"Muy bien en servicio, gracias."
4197,2,"Felicidades, gracias."
4198,2,La sugerente lucha estoy amable junto a los demás empleados siempre sonriendo gracias.
4199,5,El jugo verde no es recién hecho y estaba súper frío.
4200,5,Todo excelente!
4201,5,Siempre mantienen un nivel alto.
4202,2,Todos muy cordiales los sugerentes atienden excelente.
4203,2,Me gusta mucho el servicio y los sabores de los platillos.
4204,4,"El pozole estaba frío, las tostadas crujientes."
4205,5,Todo excelente.
4206,5,"Muy buen servicio, el mesero Aldo es muy amable."
4207,2,Excelente servicio y calidad de los alimentos.
4208,5,Excelente servicio
4209,5,"Gracias, me voy contento."
4210,2,"Solo que consideren en las bebidas, para las personas diabéticas que no tomamos azúcar, y café un poco más ligero, de todo lo demás muy bien."
4211,1,Mucha grasa
4212,5,"Buen servicio, sigan así :)"
4213,2,Sigue siendo un excelente lugar.
4214,5,Aun ni terminas tu platillo y ya lo quieren recoger.
4215,4,Excelente servicio
4216,2,Que metan jamaica y gorditas al menú.
4217,2,Tacos al pastor y agua de jamaica.
4218,2,Todo bien
4219,5,Ningú
4220,2,Mesero Uriel Miranda se portó muy amable.
4221,2,Es el mejor pozole del mundo mundial.
4222,5,Muy buen servicio y muy amable.
4223,2,"Excelente servicio, gracias."
4224,5,Antes daban más agua de sabor.
4225,5,Me gustó. Soy de Costa Rica.
4226,5,"Sugerencia de marketing: pongan artículos (imanes o cosas así) de venta en cada sucursal y que sean coleccionables, así impulsarían que se visiten todas las sucursales. Nos gustaría comprar recuerdos para llevar a MTY también."
4227,1,"Todo muy rico, EXCELENTE servicio y atención."
4228,5,Muy buen servicio.
4229,5,Mejoren el café de olla. :(
4230,1,Ojalá lleguen a Cuernavaca.
4231,5,Sigan así.
4232,1,"El servicio fue muy bueno, excelente atención."
4233,4,"El pozole tenía muy pocos granos, pero estaba rico."
4234,2,El bolillo no está rico.
4235,2,Gracias por la buena atención.
4236,1,Muy buen todo
4237,2,Los chilaquiles tienen más tortilla que carne.
4238,1,Que no se peleen por los clientes al momento de tomar la orden.
4239,1,"Mejoras: las sillas son incómodas, sería mejor la experiencia si estuvieran acolchonadas."
4240,5,"La comida está deliciosa, al igual que los postres."
4241,5,La proporción en algunos platillos es poca.
4242,5,"No hubo atención, confundieron platillos. El servicio en esta ocasión fue malo."
4243,2,El servicio y sabor son excelentes.
4244,5,Fabuloso servicio
4245,2,Todo bien.
4246,1,"Pongan un Casa Toño en Tepeji del Río, Hidalgo."
4247,5,Hubiera la opción de agregar ciertos complementos a los alimentos.
4248,5,"Me fastidia que cada 5 mins se acerquen a mí, no me dejan comer. Si yo quisiera algo, los llamaría."
4249,5,El sabor del pozole está un poco desabrido y tiene más carne.
4250,2,Que esté más caliente la comida.
4251,5,Todo me encantó.
4252,1,Todo excelente.
4253,5,Muy bueno todo.
4254,5,"Todo muy rico, me gustan mucho las flautas ahogadas."
4255,2,Amamos a casa Toño.
4256,1,"Necesitamos una sucursal en Toluca, por favor."
4257,1,Excelente
4258,2,Abrir sucursales en QRO.
4259,5,"Que no den las flautas, quemada la carne por dentro. Antes estaba fresca y ahora ya están bajando la calidad. Ojo con eso."
4260,5,Gracias
4261,2,Muy sabrosa la comida.
4262,1,Ninguna
4263,1,"Enhorabuena, no bajen la guardia."
4264,5,La atención siempre es buena y muy cordial. Me sorprende lo rápido que están mis alimentos.
4265,5,Todo excelente
4266,1,"A nombre de mi familia y el mío, estamos agradecidos por la atención, pero no fue lo que esperábamos. Nos gusta comer aquí ya que son muy serviciales. Dentro de su equipo hay una mesera o empleada que nos recibe o atiende muy bien (Sharon), muchas gracias..."
4267,5,Todo está perfecto.
4268,5,Excelente servicio
4269,5,"Me gustaría que tuvieran un área para niños, ya que es un restaurante familiar."
4270,5,"Gracias desde Costa Rica para el mundo, pura vida."
4271,1,Excelente servicio
4272,1,Todo bien
4273,5,Todo cool.
4274,5,Me gustó la rapidez del servicio.
4275,1,Más variedad
4276,2,"Parece que no has proporcionado un texto para corregir. Por favor, envíame el texto que deseas que revise."
4277,1,Sí que cuando uno come le pregunten.
4278,5,Muy buen servicio.
4279,1,"El menú no describe el platillo y los meseros tienen prisa y no se detienen a explicar... sumado el miedo de revisar la orden equivocada, pues pasó por 3 personas, decidimos pedir la orden para llevar... lo que me hace pensar en las represalias que puedan tener los meseros."
4280,2,Que el pozole no esté tan batido.
4281,1,Es muy buen restaurante.
4282,5,Excelente servicio por parte de todos los empleados. Siempre es un gran gusto venir.
4283,5,Evitar que la gente se forme dos veces.
4284,1,"Todo súper bien, sus empleados muy atentos... gracias... ¡gracias!"
4285,1,Todo muy bien
4286,2,Que use cubrebocas todo el personal que lleva alimentos.
4287,5,"Mejorar el sazon de los alimentos,"
4288,1,Las quesadillas son más pequeñas.
4289,4,"Todo muy delicioso en perfectas condiciones, la salsa guacamole es precisa para lo ordenado."
4290,5,Felicitaciones a la persona que estaba barriendo. Me vio con la mano levantada y se acercó corriendo para atenderme.
4291,5,"Los platillos como flautas estaban frías; por la prisa, las consumí así, pero sí valdría la pena que se aseguren de que los platillos salgan calientes."
4292,1,Si se acercaron muchas veces por la ayuda al cliente.
4293,4,Extraño la crema que ponían al centro.
4294,5,Excelente servicio. Muy buena atención de los chicos.
4295,1,Buen servicio.
4296,4,Felicitaciones para todos.
4297,4,Más salsas
4298,1,Baja un poco el sonido.
4299,4,Sopa azteca
4300,5,Excelente servicio
4301,1,"Muchas gracias, Sr. Toño, y a su equipo."
4302,5,Bien
4303,5,Mejorar el sazón de las quesadillas.
4304,4,Que el estacionamiento sea gratuito la primera hora.
4305,5,Excelente excelente
4306,1,Excelente servicio y muy rica la comida. Gracias.
4307,1,"Las tostadas estaban incomibles, bien duras."
4308,1,No todo está bien.
4309,1,Solo que el huevo de los chilaquiles estaba crudo (la clara).
4310,4,"Excelente servicio, calidad en los alimentos y lo más importante, el buen sazón."
4311,4,Fue muy buena la comida a un buen precio y el lugar muy limpio.
4312,5,Ninguno
4313,1,Excelente servicio 👍👏
4314,1,Que metan agua de jamaica.
4315,1,Grupos de atención y servicio.
4316,2,La maciza de mi pozole sabía a plástico agrio.
4317,4,Muy buena atención
4318,1,Podemos mejorar el menú de aguas e incluir Jamaica.
4319,4,Bajar el volumen de la radio...
4320,1,"Excelente servicio, gracias."
4321,5,Muy buen servicio.
4322,2,El pollo que implementaron cambia completamente el sabor casero que los caracterizaba; ahora está ceboso y sin sabor. Ojalá regresen al pollo anterior.
4323,5,Hoy pasamos muy rápido.
4324,5,"Excelente, muy bueno todo."
4325,1,Buena atención
4326,4,"Pueden mejorar las tostadas, están muy grasosas, y el sope, la tortilla dura."
4327,4,Los alimentos están muy tibios.
4328,5,"Fueron muy rápidos, muy atentos, pero báñense, huelen feo los meseros."
4329,1,"Muy buena atención de los meseros, satisfecho con el servicio."
4330,2,"No pierdan el buen servicio que siempre daban, hoy fue muy lento."
4331,1,Deberían ofrecer una crema de cortesía con el pozole.
4332,1,Excelente el servicio y la comida.
4333,1,Buena calidad y sabor
4334,2,Muy buen servicio.
4335,1,Excelente servicio y atención.
4336,1,Buen servicio
4337,2,Todo excelente.
4338,4,Buena atención
4339,1,"Nos gusta mucho la comida de aquí, buenas porciones."
4340,1,Bueno
4341,5,Muy amables
4342,5,La neta estuvo todo muy riquísimo. Todo buenísimo. Atte: un italiano mexicano.
4343,4,"En Plaza Satélite, poner un restaurante."
4344,4,Delicioso
4345,1,Excelente calidad de alimentos y buen servicio.
4346,5,Sigan siendo excelentes.
4347,4,"El pollo de las flautas estaba crudo o aguado, sabía mal."
4348,4,Ninguno
4349,1,"Mejorar en la recolección de trastes sucios en las mesas, ya que eso causa molestia a los comensales."
4350,5,Traigan todo a tiempo.
4351,1,Todo excelente
4352,1,Ok
4353,5,GRACIAS POR SU DEDICACIÓN Y SU CALIDAD DE TRABAJO. NO LO DEJEN DE HACER.
4354,5,"Buen servicio, como siempre."
4355,5,Las tortillas se sentían pasadas.
4356,4,"El trato de ustedes como empresa a los empleados es deplorable; el servicio de cada uno de los empleados es maravilloso y los meseros siempre son excelentes, sin mencionar a la gente de cocina."
4357,5,Pongan más platillos en el menú.
4358,1,"Si esperando ya tengan WiFi, que no les cuesta a ustedes. No es pago personal como para que no tengan red. Comí rápido porque ya no traía datos."
4359,4,"Que hubiera cortesías o que las botanas tuvieran bien definidos sus costos, sino que estos son engañosos."
4360,4,Superrrrr
4361,5,Buen servicio
4362,4,GRACIAS A LA GENTE DE SERVICIO
4363,5,"Todo bien, gracias."
4364,4,Todo muy rico.
4365,5,"Esta sucursal nunca la había visitado antes y me encantó que todo sea más tranquilo y cómodo, ya que en otras sucursales hay trabajadores literalmente corriendo todo el tiempo con comida en mano y eso me da ansiedad."
4366,5,"Excelente servicio, los muchachos muy atentos, la comida deliciosa y los precios excelentes. Saludos de parte de un costarricense viajando en México, sigan así."
4367,5,"Excelente servicio, rico sabor y buenos precios."
4368,5,"Excelente servicio, gracias 🙂"
4369,5,"Excelente equilibrio entre precio, calidad y servicio, continúen así, muchas felicidades."
4370,1,Sería excelente que respetaran los horarios laborales de los trabajadores y les brindaran un salario justo para que continúen brindando un buen servicio.
4371,5,Todo excelente
4372,1,"Sus platillos son muy ricos, además el servicio del personal es muy atento."
4373,5,Super padre
4374,4,Bien servicio.
4375,5,Las flautas están muy duras y el pollo está muy duro.
4376,5,Las flautas quedarían mejor suavecitas y no tan doradas.
4377,2,"Que puedan agregar 3 opciones; calidad, precio y servicio son excelentes."
4378,1,"La entrega de los servicios es excelente; sin embargo, podría mejorar en servirlos un poco más calientes."
4379,5,Monserrat Rosales es lo mejor de lo mejor. Muy contentos venimos desde Costa Rica y nos llevamos una gran satisfacción. Sigan así y retengan al personal como Monse.
4380,4,Excelente servicio
4381,5,Todo excelente
4382,1,"Muy bien su servicio y los alimentos, sigan así."
4383,1,El sabor de los platillos.
4384,5,Excelente todo y muy rico.
4385,5,"Me encantó el servicio, la comida."
4386,5,Soy de Costa Rica y me encantaría regresar.
4387,1,Todo excelente
4388,1,Se especializan en el alimento; cada día está mejor.
4389,2,"En general, el servicio me parece excelente en atención y servicio; solo mejoraría el sabor de los desayunos. Pongamos una sucursal en Querétaro."
4390,5,Todo limpio y la atención de su personal es excelente.
4391,5,Todo rico.
4392,2,"El sabor de la carne maciza del pozole tenía un sabor a plástico, sugiero cambiar el almacenamiento por otro tipo de plástico."
4393,4,Se pide pozole blanco y no endulzar mucho las bebidas.
4394,4,Sigan así. Excelente.
4395,5,Muy bueno
4396,2,Todo excelente.
4397,2,"Al ser franquicia, en cualquier locación el sabor debería ser igual; sin embargo, los chilaquiles no tenían buen sabor y el bistec estaba sazonado de más y crudo. Las quesadillas empapadas de grasa y mal fritas (interior húmedo y guisado tibio). Hay mucho que mejorar aquí."
4398,4,"Seguí siendo tan amables, gracias."
4399,2,"Quesadillas mal cocidas; fuera de eso, todo bien."
4400,4,Mejorar la organización y forma de dirigirse de los capitanes hacia la tropa.
4401,2,"Todo muy rico, todo excelente."
4402,5,También me gusta por el excelente servicio y calidad de los documentos. La pregunta podría permitir calificar los tres.
4403,5,"Excelente servicio, muy buen precio y excelente calidad de comida. También sugiero permitir seleccionar más de una opción en lo que más me gustó: el excelente servicio, precio y atención."
4404,2,"Es muy buen servicio, muy amable todo el personal."
4405,5,El pozole que pedí estuvo sin sabor. Mejorar.
4406,5,"Excelente atención del personal (Manuel y Roberto), muy amables, rápida atención. En general, excelente servicio."
4407,2,Las encuestadoras son muy lindas.
4408,4,Plátanos fritos de postre
4409,4,Todo bien.
4410,2,Excelente servicio
4411,5,Pongan una en Monterrey.
4412,2,Muchas gracias por su servicio.
4413,2,Todo excelente.
4414,1,"La masa de la quesadilla podría no ser la adecuada, además de que es muy salada; el servicio es excelente."
4415,1,Que limpien bien los vasos y no huelan feo.
4416,4,Bueno y rápido
4417,1,"No deberían correr tanto, se pueden caer."
4418,1,"Por favor, proporciona el texto que deseas que corrija."
4419,4,Poner ATENCIÓN AL ESTACIONAMIENTO ESTABA ABIERTO Y CON LAS LLAVES A LA VISTA
4420,5,"La mesa estaba limpia; sin embargo, olía mal. Eso intuyo que la limpiaron con un trapo sucio. Para mi gusto, el pozole no estaba caliente como en otras ocasiones."
4421,2,Le faltó carne a mi pozole y estar más caliente. Gracias.
4422,5,"Un servicio excelente de calidad. Los meseros súper amables y en todo momento atentos a que estuviéramos bien atendidos. La comida deliciosa, me encantó."
4423,1,Error en orden solucionado.
4424,2,Mis enchiladas rojas llegaron tibias.
4425,5,El señor Germán es muy atento.
4426,4,Podrían agregar como postre un brownie de chocolate.
4427,2,Todo bien.
4428,1,No me gustó que me quitaran mi botella de agua al entrar.
4429,5,Todo excelente
4430,1,Que den el agua de 500 ml en establecimientos de más categoría; el agua es más barata y de mejor sabor.
4431,1,Que el tamaño del agua sea más grande.
4432,2,Enchiladas verdes les faltó sazón.
4433,1,Muy buen servicio.
4434,2,Mejorar la temperatura de sus alimentos.
4435,5,"Todo perfecto, muy rico y buenos precios."
4436,5,Las servilletas son de muy mala calidad.
4437,4,Que vendan pan vasos
4438,4,Excelente servicio
4439,2,Excelente servicio y calidad.
4440,1,"La calidad de los alimentos ha bajado mucho y los precios empiezan a ser excesivos. Es el único lugar que sirve comida mexicana aceptable, pero ya no es una preferencia."
4441,5,Germán fue espléndido en su servicio.
4442,4,Mejor atención en el servicio del estacionamiento. Mejor actitud del personal.
4443,1,Todo bien
4444,5,"Excelente sabor, calidad y servicio."
4445,2,La calidad de la comida no es la misma.
4446,4,Buen servicio.
4447,5,"En el pozole venían trozos muy grandes de pollo y con cuero, ya que un pozole debe llevar pollo desmenuzado."
4448,2,Excelente servicio.
4449,1,Comida rica y en excelente estado.
4450,1,Yo amo sus chilaquiles.
4451,5,Excelente atención y sabor.
4452,5,Gran sabor y servicio.
4453,5,"Muy buen servicio, calidad y atención."
4454,1,Todo excelente.
4455,1,"Excelente servicio, gracias corazón 💕"
4456,1,Todo está delicioso.
4457,5,Todo muy bien.
4458,4,Ok
4459,2,Muy buen servicio.
4460,5,Sin comentarios.
4461,2,.
4462,2,Muy buen servicio del personal que nos atendió y el capitán.
4463,4,Muy rico
4464,2,Ninguno
4465,1,Excelente servicio.
4466,2,"Excelente servicio, sabor, calidad, atención. Excelente. ¡Gracias!"
4467,4,Muy bien
4468,5,El sabor de tu comida y sus salsas es malo.
4469,1,"Excelente, gracias."
4470,4,Todo excelente
4471,5,"Solo mi comentario es que no picaron mucho los chilaquiles, pero sí tienen un gran sabor. Gracias."
4472,5,Todo muy bien
4473,5,"Excelente servicio, calidez y calidad: felicitaciones a todo el personal de Casa Toño, sucursal Madero."
4474,5,"En esta ocasión sentimos que le faltó un poquito más de sabor a la salsa roja de las flautas ahogadas, pero en general estuvo muy bien todo."
4475,2,La calidad del pollo no es la de siempre.
4476,2,Muy buen sabor en los alimentos.
4477,1,"Tiene muy buena calidad y sabor, y la atención siempre es muy buena cuando venimos."
4478,5,La música que ponen es demasiado alta.
4479,5,"Excelente servicio, ¡felicidades! 👍"
4480,1,"Ninguno, todo muy bien, así ha sido siempre. Gracias."
4481,1,No elevar el precio precipitadamente.
4482,5,No
4483,2,"El sabor de los alimentos es muy bueno, así como frescos."
4484,5,Excelente servicio y muy deliciosa la comida.
4485,5,Gracias.
4486,5,Deberían poner wifi.
4487,2,Muy rápidos los chavos.
4488,1,Está bueno.
4489,4,El trato de Jovani fue excelente.
4490,1,Excelente servicio
4491,5,Muchas gracias.
4492,4,Yo pedí un pozole y el mesero se le cayó y nunca nos dieron otro.
4493,1,Atención muy eficaz y con mucha amabilidad.
4494,1,Solicité por oficio mi comida.
4495,5,Todo bien.
4496,5,Ninguno
4497,4,"Las tostadas están muy duras, quemadas y grasosas."
4498,5,Pongan más tostadas para el pozole.
4499,1,"Los alimentos son muy ricos y, sobre todo, el servicio es excelente. ¡Sigamos así!"
4500,2,Pedí flautas y la carne estaba muy frita.
4501,4,No traía crema mi tostada.
4502,1,No
4503,5,Menos grasa en tostadas.
4504,1,Excelente servicio y colaboradores muy atentos.
4505,2,Todo bien
4506,1,Seguir así de bien
4507,1,"Un poco menos de volumen a la música, es ambiental."
4508,5,Excelentes sus postres.
4509,1,"No demeriten la calidad de los alimentos, como el jugo verde que ahora es muy malo."
4510,2,Las enchiladas estuvieron pésimas; el pollo congelado es de muy mala calidad. Esto los llevará a la quiebra en caso de que no tomen cartas en el asunto de cuidar mucho la calidad.
4511,1,Ninguno
4512,4,"Excelente servicio, comida y atención."
4513,5,Muy buena comida.
4514,1,"Todo excelente, solo que ahora no estaban tan ricas las quesadillas de panza."
4515,5,"SIGAN ATENDIENDO DE ESA MANERA, ES INCREÍBLE VOLVER"
4516,5,Excelente precio
4517,2,"El café cappuccino antes estaba muy bueno, pero hoy no tiene nada de sabor."
4518,1,Gracias porque es muy buena opción para comer.
4519,2,Gracias
4520,1,TODO ESTUVO PERFECTO SOLO QUE LAS FLAUTAS ESTABAN SALADAS
4521,1,"Solo en opinión personal, le bajarán un poco sus costos a sus bebidas, ya que son demasiado pequeños para el precio. Muchas gracias."
4522,2,Ha disminuido la calidad de los alimentos.
4523,4,Ok
4524,5,Más mesas para todos
4525,5,Muy bueno
4526,2,MENOS SAL AL POZOLE
4527,5,"Que sean más atentos y un poco más rápidos en la mesa 57, ya que está esquinada y no hay flujo de personal ni coordinación."
4528,1,Las flautas están mal rellenas.
4529,5,Gracias por el servicio.
4530,1,"Felicitaciones por todo, es excelente."
4531,5,La calidad de los productos está bajando; las flautas no están rellenas por completo y mezclaron las carnes.
4532,1,"Ojalá no pierdan las 3 B: Bueno, Bonito y Barato."
4533,1,No
4534,2,"La aplicación no recibe la tarjeta, está teniendo problemas."
4535,5,Poner una casa tono en Toluca.
4536,1,La salsa de los chilaquiles y enchiladas rojas se ha vuelto nadante salada... podrían checar ese aspecto.
4537,5,"Un genio el chico que nos atendió, Isaías. Gracias a él por su servicio y atención."
4538,1,Buen servicio
4539,2,Muy rico todo.
4540,1,Buen servicio y muy excelente sazón.
4541,4,"Solo cuida que el pozo esté bien caliente, por favor."
4542,5,Excelente
4543,5,Menos sal a los alimentos.
4544,2,"Excelente servicio, ¡gracias!"
4545,5,"Horrible la comida, el pozole muy feo, el pollo. Atentamente: Zurisadai Camacho."
4546,5,Solo que no corran los meseros.
4547,2,Me gusta el servicio que brindan.
4548,5,Muy bueno todo.
4549,5,Refrescos muy caros.
4550,5,Ninguno
4551,1,Comprar queso de mejor calidad
4552,1,Muy buen servicio.
4553,5,Todo bien
4554,5,Mi comida estaba ligeramente fría.
4555,5,Siempre es un excelente servicio.
4556,1,Que los refrescos sean de 500 ml en vez de 355 ml.
4557,2,Favor de tener cojines en los asientos de la humildad.
4558,1,No
4559,5,Que sigan así
4560,1,Gracias
4561,5,Buen servicio y muy rico. 😋
4562,5,luccyssoto@gmail.com
4563,5,Todo muy bien.
4564,1,Me gustó todo.
4565,2,Excelente servicio y atención.
4566,5,Me choca que los meseros se la pasen corriendo. No dejan disfrutar de la comida.
4567,1,"Todo bien, menos frijoles en sus enfrijoladas."
4568,5,Servicio de primera
4569,5,"Las quesadillas que pedí estaban bastante aceitosas, mejor eso :)"
4570,1,"Muy buen restaurante, buen servicio y buena comida."
4571,5,"Excelente atención, servicio rápido y muy buena calidad-precio. Definitivamente, volvería a acudir."
4572,5,Todo excelente
4573,2,Excelente servicio de todos sus trabajadores.
4574,5,"Excelente todo: precio, servicio y calidad."
4575,5,Muy buen servicio.
4576,2,"En las últimas visitas, los alimentos han tenido un sabor muy refrigerado. La copa de hoy está muy mala, la verdad. Pero es que el día de hoy consumimos unas flautas y la papa no tenía buen sabor."
4577,5,Bueno
4578,1,"El personal de la sucursal Lunaparc se portó excelente, todos súper amables y atentos. Todo excelente, muchas felicidades."
4579,5,Que se acerquen a preguntar si algo HACE FALTA.
4580,1,Felicidades
4581,1,"Muy buen servicio, también bastantes porciones en la comida; muchas gracias. 🙂"
4582,5,Todo rico y excelente.
4583,5,Bien
4584,5,Siempre los visito.
4585,5,Abran sucursal en Guadalajara.
4586,4,Que el aire acondicionado está muy frío.
4587,5,Seguir con tan excelente servicio.
4588,5,"Mi mesera Viridiana fue muy amable y las flautas les faltó estar menos doradas, pero bien."
4589,5,Muy buena calidad de servicios.
4590,4,Un poco más de tostadas.
4591,1,El servicio los hace únicos.
4592,5,"Muy ricos alimentos, buen sazón y gran calidad de personal."
4593,5,Muchas gracias.
4594,1,Ninguno
4595,2,Revisar correctamente las proporciones en cuanto a las porciones de carnes dentro del pozole. Se brindó la atención necesaria por parte del capitán y meseros.
4596,5,Han mejorado mucho.
4597,5,Todo perfecto.
4598,1,"No digan que cada rato que hay que contestar su encuesta. Iba a poner a todo excelente, pero por ese motivo les puse muy bueno. Me fastidia que me molesten cuando estoy comiendo, pagando o besuqueándome con mi esposa."
4599,5,"Observo que se está perdiendo la calidad de los alimentos; las bebidas, cada vez más, son agua con azúcar; lo demás, salado y mojado en general, su calidad cada vez se va perdiendo."
4600,5,Todo bien
4601,4,El estacionamiento de Echegaray es exclusivo en efectivo y se deberían dar otras opciones de pago.
4602,5,Que se siga manteniendo la calidad en los alimentos y en el servicio.
4603,4,A los tacos cada vez les ponen menos carne.
4604,1,Buen servicio.
4605,5,Muy bueno
4606,5,"Checar bien las cuentas, ya que a mí me dieron una cuenta que no era la mía."
4607,1,Solo que aún no terminamos y ya nos están retirando el plato.
4608,5,Muy bueno
4609,5,Excelente sabor 😋
4610,1,Todo está muy rico 😋
4611,2,No
4612,4,Excelente servicio
4613,5,Excelente servicio
4614,4,"La calidad de los alimentos no es buena; en mi caso, fueron unas enchiladas que estaban duras. Me las cambiaron, pero así no deben de ser las cosas."
4615,4,Siempre excelente.
4616,5,Muy buena atención
4617,4,Excelente servicio y atención.
4618,2,"El sabor está cambiando, le falta orégano. Solo sucursal Ojo de Agua, excelente."
4619,2,El chocolate tiene mucha canela.
4620,1,¡Gracias!
4621,5,Excelente 3
4622,5,Excelente actitud
4623,1,Aumentar la cantidad
4624,4,El servicio es excelente y se los recomendaría a mis amigas para que vengan a visitarlos y prueben sus platillos tan deliciosos y ricos.
4625,4,Todos los platillos tienen un excelente sabor.
4626,5,El sabor del café americano no es muy bueno.
4627,5,La flauta ahogada que pedí estaba demasiado dorada y abierto el taco.
4628,4,"El café de olla, mejorándolo."
4629,1,"Muy rápido el servicio, muy rápido."
4630,5,Mejorar el servicio de host.
4631,2,"La música, preferiría más mexicana, sin llegar a banda o cosas extrañas."
4632,5,"El capitán y los meseros excelentes. ¡Increíble servicio! Regresaría mil veces y los recomiendo al 100%. Su atención y amabilidad, increíbles."
4633,1,"Es muy buen servicio, muy rápido. Lo recomiendo."
4634,1,Buen servicio de las mejores casas.
4635,5,Comida rica y servicio rápido si tienes mucha hambre.
4636,5,Llegué por recomendación de un amigo. Es una buena estadística.
4637,1,Todo muy bien.
4638,1,Estaría bien que vendieran pancita.
4639,5,"Nada, todo excelente."
4640,5,"Dios bendiga a la casa Toño, no sean culeros con sus empleados."
4641,1,Muy bien
4642,2,Excelente servicio.
4643,5,"Excelente servicio, gracias 🙂"
4644,1,Siempre atienden de la mejor manera.
4645,5,todo perfecto
4646,2,Un menú infantil y juegos para niños. 👦 😉 💪✔️✔️✔️✅️
4647,5,Me encanta la atención. ¡Gracias por todo! ¡Pura vida!
4648,5,"Me encanta el servicio, la comida y los precios."
4649,5,Todo excelente
4650,1,"La verdad, el servicio fue muy bueno y la atención muy bien."
4651,4,Sigan así.
4652,5,"Pedí una quesadilla y el plato tenía mucho aceite, por lo que sugiero dejarlas escurrir más. Les comenté y me la cambiaron."
4653,5,El sr. Germán (mesero)... super atento... felicidades por tener personal tan amable como él.
4654,4,"Siempre la atención ha sido buena, pero en esta ocasión se tardaron demasiado, más de 15 minutos."
4655,5,"Excelente servicio, atención. Es nuestra primera vez desde Monterrey, 100 % los vamos a recomendar."
4656,4,"Cuando se pide pozole por el precio que tiene, además de obsequiar tostadas, deberían incluir la crema y el queso como cortesía. En México acostumbramos acompañar el pozole con tostadas, crema y queso. Gracias por las tostadas y gracias de antemano por tomar en cuenta esta sugerencia."
4657,4,Todo bien.
4658,5,"Muy buen servicio y buen sabor en la comida, muy recomendable."
4659,5,Esta sucursal es muy buena.
4660,1,Añadir al menú algo más para niños (papas fritas o nuggets)
4661,1,Las bebidas ya están muy caras.
4662,2,Buen servicio
4663,5,Todo súper excelente.
4664,4,Falta agua de jamaica.
4665,1,Todo muy rico.
4666,4,"El café de olla le falta sabor a café; quizá si le agregan más café, mejoraría su sabor."
4667,2,Que tenga red de Ethernet para poder conectar mi laptop.
4668,5,Que pongan torta de chilaquiles.
4669,5,"Falta seguimiento de los meseros, se equivocaron en traerme una orden de enfrijoladas cuando era una pieza. Se les pidieron varios platillos y dábamos indicaciones y no las seguían porque los meseros cambian al traer platillos diferentes."
4670,5,No hubo chocomilk.
4671,2,Servicio personalizado
4672,5,It was really an amazing experience! All the servers were delightful and the food was authentic and fast!
4673,4,Me gustaría que hubiese fruta para empezar el día y que abrieran sucursal en Toluca y Metepec. Gracias.
4674,2,Gracias por todo.
4675,5,Me encantó.
4676,4,Todo muy delicioso.
4677,2,Todo EXCELENTE
4678,2,Sigan así :)
4679,2,Solamente sería el chicharrón que está salado.
4680,4,Sigan igual.
4681,4,"Todo excelente, gracias."
4682,4,Sigan así 😁
4683,2,Mm hola
4684,2,Nos trajeron equivocado un platillo: flautas de carne en vez de pollo.
4685,2,"Pedí pan blanco. Para el desayuno de paquete, ya se encontraba pasado de tiempo. Recomiendo que den pan reciente o fresco. Gracias."
4686,2,Agradable
4687,2,Todos muy atentos.
4688,2,Me gustaría sugerir que agreguen a su menú tés.
4689,5,Gracias por su buen trabajo ♥️
4690,4,"Buen servicio, buen servicio."
4691,4,"El pan está muy feo y duro; todo lo demás, ok."
4692,2,Muy buena atención cada vez que visitamos la casa de Toño.
4693,5,Excelente servicio.
4694,4,Ninguno
4695,2,Excelente servicio
4696,5,Excelente servicio
4697,1,"No me gustó que no tengan un orden de atención y que se nota la presión laboral que ejercen con el personal. De ellos no tengo ninguna queja, pero se nota la explotación laboral."
4698,4,Los platos del pozole chico son una broma. Antes estaban más grandes. Se derrama el alimento.
4699,2,Los platillos fríos y la atención muy mala para resolver situaciones con sus platillos necesitan supervisor para los alimentos.
4700,5,All good
4701,5,Me encantó.
4702,4,"La textura del pollo en el pozole es diferente, también en lo visual; no es la de antes. Fuera de eso, todo bien."
4703,5,"Muy buena calidad en sus platillos, además de la atención amable que ofrecen."
4704,4,"Los platillos salen fríos, de ahí en fuera todo excelente."
4705,2,Excelente
4706,2,Gracias por la atención.
